Customer ID,Age,Gender,Item Purchase,Category,Location,Size,Color,Review Rate,Subscription,Shipping Type,Discount,Payment,Frequency of Purchase
44,50,Male,Phone,Electronics,Rawalpindi,XL,Black,3,Yes,Standard,Yes,Cash,Weekly
45,45,Female,Phone,Electronics,Lahore,XL,Green,3,No,Standard,Yes,Cash,Yearly
46,41,Male,Headphones,Clothing,Faisalabad,S,White,5,Yes,Standard,No,Online,Monthly
47,44,Male,Laptop,Clothing,Faisalabad,L,Red,4,Yes,Express,Yes,Card,Yearly
48,48,Female,Headphones,Electronics,Karachi,XL,Green,3,No,Express,No,Online,Yearly
49,35,Female,Bag,Accessories,Lahore,L,Green,1,Yes,Standard,No,Cash,Weekly
50,44,Female,Phone,Clothing,Lahore,M,Red,5,No,Express,Yes,Online,Monthly
51,45,Female,Bag,Accessories,Faisalabad,S,Black,4,Yes,Standard,No,Online,Monthly
52,36,Male,Phone,Accessories,Karachi,L,Blue,1,No,Express,No,Cash,Yearly
53,49,Male,Bag,Accessories,Lahore,S,Blue,1,No,Standard,No,Card,Yearly
54,37,Female,Headphones,Clothing,Faisalabad,S,Black,2,No,Standard,Yes,Online,Weekly
55,35,Female,Laptop,Electronics,Rawalpindi,S,Black,4,No,Express,Yes,Card,Weekly
56,19,Female,Laptop,Electronics,Islamabad,L,Blue,4,No,Express,No,Cash,Yearly
57,24,Male,Watch,Electronics,Karachi,M,Green,2,No,Standard,No,Card,Yearly
58,53,Male,Shirt,Accessories,Lahore,L,Green,2,Yes,Express,Yes,Online,Yearly
59,44,Female,Shoes,Clothing,Islamabad,S,White,4,No,Express,Yes,Card,Monthly
60,32,Male,Bag,Clothing,Islamabad,L,Blue,4,No,Standard,No,Online,Monthly
61,47,Male,Headphones,Electronics,Islamabad,XL,Black,2,Yes,Standard,No,Card,Yearly
62,29,Male,Shirt,Clothing,Rawalpindi,L,White,1,No,Express,No,Cash,Weekly
63,46,Male,Laptop,Clothing,Rawalpindi,L,Green,1,No,Express,Yes,Card,Yearly
64,37,Male,Shoes,Electronics,Rawalpindi,S,Red,4,Yes,Express,Yes,Online,Monthly
65,33,Male,Shoes,Clothing,Karachi,M,Black,3,No,Express,No,Online,Yearly
66,39,Female,Laptop,Electronics,Islamabad,XL,Black,3,Yes,Express,Yes,Online,Weekly
67,22,Female,Headphones,Accessories,Faisalabad,S,Black,2,No,Express,No,Cash,Monthly
68,22,Female,Laptop,Electronics,Lahore,XL,Blue,3,No,Standard,No,Card,Yearly
69,29,Male,Shoes,Clothing,Karachi,L,Black,4,Yes,Express,No,Cash,Yearly
70,48,Male,Shirt,Electronics,Lahore,XL,Black,5,No,Standard,Yes,Online,Weekly
71,21,Male,Phone,Accessories,Karachi,L,Red,2,Yes,Standard,Yes,Cash,Monthly
72,50,Male,Laptop,Accessories,Lahore,L,Black,3,No,Express,No,Cash,Yearly
73,20,Male,Shoes,Clothing,Karachi,XL,Green,1,Yes,Express,Yes,Card,Weekly
74,50,Male,Laptop,Accessories,Islamabad,XL,White,3,No,Express,Yes,Cash,Weekly
75,48,Male,Watch,Clothing,Islamabad,M,Red,3,No,Express,Yes,Online,Yearly
76,53,Male,Bag,Electronics,Islamabad,L,Red,2,No,Express,Yes,Card,Weekly
77,50,Male,Headphones,Accessories,Faisalabad,L,Green,5,No,Standard,No,Cash,Yearly
78,23,Female,Phone,Clothing,Faisalabad,S,Blue,3,Yes,Standard,No,Cash,Weekly
79,19,Female,Phone,Clothing,Lahore,XL,Green,4,Yes,Standard,Yes,Cash,Weekly
80,42,Female,Phone,Clothing,Faisalabad,S,Black,1,Yes,Express,Yes,Card,Monthly
81,43,Female,Shirt,Clothing,Rawalpindi,XL,Green,5,Yes,Standard,Yes,Card,Yearly
82,45,Female,Laptop,Clothing,Faisalabad,L,Black,4,Yes,Standard,No,Online,Weekly
83,58,Male,Watch,Electronics,Lahore,S,Red,2,No,Standard,No,Online,Weekly
84,25,Female,Headphones,Accessories,Faisalabad,M,Blue,3,Yes,Standard,No,Online,Monthly
85,31,Female,Shirt,Electronics,Rawalpindi,S,Black,2,Yes,Standard,No,Cash,Monthly
86,53,Female,Shoes,Clothing,Lahore,M,Blue,3,No,Express,Yes,Cash,Yearly
87,37,Male,Shoes,Electronics,Rawalpindi,M,Black,3,Yes,Standard,Yes,Card,Monthly
88,27,Female,Watch,Electronics,Rawalpindi,M,Blue,2,No,Express,Yes,Online,Weekly
89,18,Male,Headphones,Electronics,Lahore,XL,Red,4,No,Standard,No,Online,Yearly
90,32,Male,Shirt,Accessories,Faisalabad,S,White,2,Yes,Express,No,Online,Yearly
91,21,Male,Shirt,Electronics,Faisalabad,XL,Green,2,Yes,Express,Yes,Cash,Yearly
92,50,Male,Laptop,Clothing,Islamabad,S,Black,1,Yes,Standard,No,Card,Monthly
93,18,Female,Laptop,Clothing,Rawalpindi,M,Blue,2,Yes,Standard,Yes,Card,Yearly
94,32,Female,Shoes,Electronics,Karachi,S,Blue,3,Yes,Express,Yes,Card,Monthly
95,41,Male,Shirt,Electronics,Lahore,M,Green,3,Yes,Express,Yes,Card,Monthly
96,38,Female,Watch,Accessories,Lahore,M,Green,1,No,Express,No,Card,Weekly
97,25,Female,Shoes,Electronics,Karachi,L,Blue,3,Yes,Standard,No,Cash,Weekly
98,54,Male,Bag,Electronics,Lahore,XL,Black,5,No,Standard,Yes,Online,Monthly
99,60,Female,Shoes,Accessories,Islamabad,M,Blue,1,No,Standard,No,Cash,Yearly
100,52,Male,Bag,Electronics,Faisalabad,L,Green,2,Yes,Express,No,Online,Weekly
101,38,Male,Laptop,Accessories,Faisalabad,XL,White,4,Yes,Express,No,Card,Weekly
102,56,Male,Shoes,Accessories,Karachi,M,Red,3,No,Express,No,Online,Monthly
103,37,Male,Bag,Clothing,Lahore,M,Blue,3,Yes,Express,No,Online,Yearly
104,48,Male,Bag,Electronics,Rawalpindi,XL,Blue,5,Yes,Standard,Yes,Card,Yearly
105,56,Male,Headphones,Electronics,Karachi,M,Green,3,No,Standard,Yes,Cash,Monthly
106,19,Male,Shoes,Accessories,Faisalabad,L,Black,5,No,Express,Yes,Online,Yearly
107,52,Male,Watch,Electronics,Islamabad,M,Green,3,No,Standard,Yes,Cash,Weekly
108,54,Male,Bag,Accessories,Faisalabad,M,White,4,Yes,Standard,Yes,Online,Yearly
109,26,Male,Phone,Accessories,Faisalabad,XL,Blue,2,No,Standard,No,Online,Yearly
110,49,Male,Shirt,Clothing,Faisalabad,M,Green,2,No,Standard,No,Card,Weekly
111,59,Male,Headphones,Accessories,Lahore,S,Red,3,No,Express,Yes,Online,Yearly
112,37,Male,Phone,Clothing,Rawalpindi,XL,White,1,No,Express,Yes,Card,Weekly
113,37,Female,Shoes,Electronics,Islamabad,XL,White,5,Yes,Express,Yes,Card,Yearly
114,40,Male,Phone,Accessories,Karachi,XL,Blue,5,No,Standard,Yes,Cash,Monthly
115,53,Female,Headphones,Accessories,Rawalpindi,M,White,2,Yes,Standard,Yes,Card,Yearly
116,28,Female,Laptop,Accessories,Karachi,L,White,2,No,Standard,Yes,Online,Monthly
117,21,Female,Shirt,Clothing,Islamabad,M,Red,4,No,Standard,Yes,Cash,Yearly
118,26,Male,Phone,Clothing,Rawalpindi,S,White,2,No,Standard,Yes,Online,Monthly
119,26,Male,Shoes,Clothing,Faisalabad,XL,Black,5,No,Standard,No,Card,Weekly
120,47,Male,Laptop,Accessories,Rawalpindi,XL,White,3,Yes,Standard,Yes,Cash,Weekly
121,50,Male,Laptop,Accessories,Islamabad,M,Green,5,No,Express,Yes,Cash,Weekly
122,45,Male,Shirt,Clothing,Rawalpindi,S,White,1,Yes,Standard,Yes,Card,Weekly
123,29,Female,Phone,Accessories,Faisalabad,L,Red,4,Yes,Standard,Yes,Cash,Yearly
124,38,Female,Headphones,Electronics,Karachi,L,Blue,4,Yes,Express,No,Card,Weekly
125,18,Male,Shirt,Accessories,Lahore,S,Black,4,Yes,Express,No,Card,Weekly
126,38,Female,Shoes,Electronics,Lahore,M,Green,2,No,Standard,No,Cash,Weekly
127,37,Male,Bag,Clothing,Karachi,S,Blue,4,No,Express,No,Card,Weekly
128,56,Male,Shirt,Electronics,Faisalabad,S,Blue,3,No,Express,No,Cash,Weekly
129,55,Female,Headphones,Accessories,Faisalabad,L,Blue,2,No,Express,No,Card,Monthly
130,25,Male,Shirt,Clothing,Rawalpindi,L,Green,2,No,Express,No,Online,Monthly
131,46,Male,Shoes,Accessories,Rawalpindi,L,Black,3,No,Standard,No,Cash,Monthly
132,20,Female,Phone,Clothing,Islamabad,XL,White,1,Yes,Express,No,Online,Yearly
133,31,Male,Shoes,Clothing,Islamabad,S,Blue,3,No,Standard,No,Card,Weekly
134,27,Male,Headphones,Electronics,Islamabad,S,Blue,4,Yes,Standard,Yes,Cash,Monthly
135,55,Female,Shoes,Clothing,Karachi,L,Green,4,No,Express,Yes,Online,Yearly
136,55,Male,Phone,Clothing,Faisalabad,XL,Blue,4,No,Express,Yes,Cash,Weekly
137,35,Female,Headphones,Clothing,Rawalpindi,L,Green,2,No,Express,Yes,Card,Monthly
138,32,Male,Shirt,Electronics,Lahore,XL,White,1,Yes,Express,Yes,Online,Monthly
139,38,Female,Phone,Electronics,Rawalpindi,L,White,2,No,Express,No,Cash,Weekly
140,55,Female,Watch,Accessories,Faisalabad,XL,Black,1,No,Standard,No,Cash,Weekly
141,41,Female,Shirt,Electronics,Rawalpindi,XL,Green,1,No,Express,No,Cash,Monthly
142,49,Male,Headphones,Clothing,Lahore,M,Green,4,Yes,Express,Yes,Card,Yearly
143,47,Male,Watch,Electronics,Lahore,S,Blue,2,Yes,Standard,Yes,Cash,Monthly
144,21,Male,Phone,Clothing,Faisalabad,S,Red,2,Yes,Express,Yes,Cash,Yearly
145,55,Male,Headphones,Clothing,Karachi,S,White,3,No,Standard,Yes,Cash,Yearly
146,56,Male,Shoes,Electronics,Karachi,M,Blue,3,No,Standard,Yes,Online,Monthly
147,27,Female,Watch,Accessories,Rawalpindi,XL,Green,4,No,Express,Yes,Card,Monthly
148,37,Female,Headphones,Accessories,Rawalpindi,M,White,1,No,Express,No,Online,Weekly
149,40,Female,Phone,Clothing,Islamabad,L,White,4,No,Express,No,Cash,Yearly
150,54,Female,Headphones,Electronics,Faisalabad,XL,Black,1,No,Standard,Yes,Online,Yearly
151,18,Male,Phone,Accessories,Karachi,L,White,1,Yes,Express,No,Cash,Monthly
152,25,Female,Headphones,Accessories,Islamabad,M,White,2,Yes,Standard,No,Online,Yearly
153,33,Female,Shirt,Clothing,Lahore,M,Black,2,Yes,Express,No,Cash,Monthly
154,29,Female,Headphones,Clothing,Islamabad,S,White,2,No,Express,Yes,Online,Yearly
155,55,Female,Shoes,Clothing,Lahore,M,Black,5,Yes,Standard,Yes,Online,Yearly
156,54,Male,Phone,Clothing,Rawalpindi,XL,Black,4,Yes,Standard,No,Card,Weekly
157,32,Male,Bag,Electronics,Karachi,L,Blue,4,Yes,Standard,No,Online,Monthly
158,58,Male,Bag,Clothing,Rawalpindi,M,Green,2,Yes,Express,Yes,Online,Yearly
159,55,Male,Bag,Clothing,Islamabad,XL,Red,4,No,Express,No,Card,Weekly
160,56,Female,Phone,Clothing,Faisalabad,XL,White,3,Yes,Express,Yes,Cash,Yearly
161,27,Male,Headphones,Clothing,Lahore,L,Green,1,No,Standard,Yes,Cash,Yearly
162,25,Male,Shirt,Accessories,Faisalabad,XL,Blue,1,No,Express,Yes,Online,Monthly
163,38,Female,Phone,Accessories,Islamabad,L,Green,2,No,Standard,No,Online,Monthly
164,33,Male,Laptop,Electronics,Rawalpindi,M,Red,2,Yes,Standard,Yes,Online,Monthly
165,35,Female,Headphones,Electronics,Lahore,M,Green,3,Yes,Standard,Yes,Cash,Weekly
166,42,Female,Watch,Accessories,Islamabad,XL,White,5,No,Standard,Yes,Cash,Yearly
167,32,Female,Shirt,Electronics,Karachi,M,White,2,Yes,Express,No,Online,Yearly
168,34,Female,Shoes,Clothing,Rawalpindi,S,Blue,5,No,Standard,Yes,Cash,Yearly
169,22,Female,Laptop,Electronics,Lahore,S,White,4,Yes,Standard,Yes,Cash,Monthly
170,24,Male,Shirt,Clothing,Rawalpindi,L,Green,1,No,Express,No,Cash,Yearly
171,43,Female,Laptop,Clothing,Faisalabad,XL,White,4,Yes,Express,No,Card,Monthly
172,21,Female,Shoes,Accessories,Faisalabad,L,Red,1,Yes,Express,Yes,Online,Weekly
173,50,Female,Bag,Electronics,Faisalabad,S,Blue,1,Yes,Express,Yes,Card,Yearly
174,49,Male,Shirt,Accessories,Karachi,L,Black,5,Yes,Express,No,Cash,Monthly
175,48,Female,Shirt,Clothing,Rawalpindi,L,White,5,No,Express,No,Card,Weekly
176,60,Female,Bag,Clothing,Faisalabad,S,Blue,5,No,Express,No,Card,Yearly
177,34,Female,Watch,Accessories,Rawalpindi,XL,White,3,No,Express,Yes,Online,Monthly
178,55,Male,Phone,Clothing,Faisalabad,L,Green,3,Yes,Standard,Yes,Cash,Weekly
179,36,Female,Laptop,Accessories,Karachi,XL,Blue,5,No,Express,No,Card,Monthly
180,40,Male,Shoes,Clothing,Karachi,L,White,5,Yes,Standard,Yes,Online,Yearly
181,35,Female,Laptop,Accessories,Lahore,M,Green,4,No,Express,Yes,Online,Yearly
182,21,Female,Headphones,Clothing,Rawalpindi,L,Red,5,No,Standard,Yes,Card,Weekly
183,26,Male,Phone,Accessories,Islamabad,L,Blue,3,Yes,Standard,No,Online,Yearly
184,60,Female,Laptop,Electronics,Faisalabad,XL,Black,1,Yes,Express,No,Cash,Monthly
185,32,Female,Headphones,Electronics,Rawalpindi,L,Blue,4,No,Standard,Yes,Card,Monthly
186,20,Male,Bag,Electronics,Lahore,XL,Blue,2,No,Express,Yes,Cash,Yearly
187,37,Female,Bag,Accessories,Lahore,M,White,4,No,Express,No,Cash,Monthly
188,30,Female,Shoes,Electronics,Faisalabad,XL,Green,1,No,Standard,Yes,Cash,Weekly
189,51,Female,Laptop,Electronics,Faisalabad,L,Blue,2,Yes,Express,No,Online,Yearly
190,32,Female,Bag,Clothing,Faisalabad,L,White,3,No,Express,No,Card,Weekly
191,57,Female,Bag,Clothing,Rawalpindi,S,Green,3,Yes,Standard,Yes,Online,Monthly
192,34,Female,Phone,Accessories,Rawalpindi,XL,Black,5,No,Standard,No,Online,Weekly
193,36,Female,Shoes,Accessories,Lahore,XL,White,2,Yes,Standard,Yes,Card,Monthly
194,22,Female,Watch,Electronics,Faisalabad,XL,Blue,1,Yes,Express,No,Cash,Monthly
195,57,Female,Laptop,Accessories,Islamabad,XL,Black,5,No,Express,No,Online,Monthly
196,59,Male,Headphones,Clothing,Lahore,S,Black,4,No,Express,No,Online,Yearly
197,42,Male,Shirt,Clothing,Karachi,XL,Red,5,No,Express,Yes,Online,Monthly
198,49,Male,Shirt,Accessories,Lahore,L,Blue,2,Yes,Standard,No,Card,Yearly
199,57,Female,Phone,Accessories,Lahore,S,White,3,No,Standard,No,Card,Yearly
200,26,Female,Bag,Accessories,Lahore,M,Black,2,Yes,Express,No,Online,Yearly
201,57,Male,Watch,Accessories,Islamabad,M,Red,5,Yes,Express,No,Cash,Yearly
202,44,Female,Bag,Clothing,Lahore,S,Red,3,Yes,Standard,No,Online,Monthly
203,42,Female,Laptop,Clothing,Rawalpindi,M,Blue,1,Yes,Standard,Yes,Card,Weekly
204,38,Female,Shoes,Clothing,Lahore,XL,Black,5,Yes,Standard,No,Cash,Yearly
205,46,Male,Watch,Accessories,Rawalpindi,S,Green,3,No,Standard,No,Cash,Yearly
206,38,Female,Shoes,Clothing,Karachi,S,Green,2,Yes,Express,Yes,Card,Monthly
207,54,Male,Bag,Clothing,Faisalabad,L,White,2,No,Standard,Yes,Online,Yearly
208,29,Female,Headphones,Accessories,Lahore,L,Black,4,No,Express,Yes,Online,Weekly
209,25,Female,Shirt,Clothing,Karachi,L,Green,4,Yes,Express,Yes,Online,Monthly
210,26,Female,Bag,Clothing,Islamabad,M,Black,3,No,Standard,Yes,Card,Weekly
211,31,Female,Laptop,Electronics,Faisalabad,S,Green,5,Yes,Express,Yes,Online,Monthly
212,26,Male,Bag,Clothing,Rawalpindi,S,White,1,No,Standard,Yes,Card,Monthly
213,27,Male,Laptop,Accessories,Faisalabad,L,Blue,3,Yes,Express,Yes,Card,Weekly
214,53,Female,Bag,Electronics,Rawalpindi,XL,White,1,No,Express,Yes,Cash,Yearly
215,18,Male,Watch,Electronics,Faisalabad,XL,Green,4,No,Express,No,Card,Weekly
216,57,Female,Shoes,Accessories,Rawalpindi,L,White,5,Yes,Express,No,Online,Monthly
217,35,Male,Headphones,Accessories,Faisalabad,M,Green,1,No,Standard,No,Card,Weekly
218,49,Female,Watch,Clothing,Karachi,S,Green,4,Yes,Express,No,Cash,Monthly
219,27,Female,Bag,Electronics,Rawalpindi,L,Green,2,No,Standard,Yes,Online,Yearly
220,39,Male,Shoes,Clothing,Karachi,XL,White,5,No,Standard,No,Card,Weekly
221,51,Male,Headphones,Electronics,Lahore,S,Red,5,Yes,Standard,Yes,Cash,Yearly
222,18,Male,Watch,Clothing,Faisalabad,XL,Black,3,Yes,Express,No,Card,Monthly
223,27,Female,Headphones,Accessories,Islamabad,M,Blue,2,Yes,Standard,No,Cash,Monthly
224,37,Female,Phone,Clothing,Rawalpindi,S,Green,4,Yes,Express,Yes,Cash,Weekly
225,59,Male,Laptop,Clothing,Islamabad,L,Blue,3,No,Standard,No,Cash,Weekly
226,49,Female,Watch,Electronics,Karachi,L,Blue,4,Yes,Standard,No,Card,Weekly
227,30,Female,Watch,Clothing,Rawalpindi,XL,Green,3,Yes,Express,No,Online,Weekly
228,54,Female,Shirt,Electronics,Faisalabad,S,White,4,No,Standard,No,Card,Yearly
229,53,Female,Shoes,Electronics,Lahore,L,Blue,5,Yes,Express,No,Card,Yearly
230,37,Female,Headphones,Accessories,Faisalabad,XL,Red,4,Yes,Standard,No,Cash,Weekly
231,33,Female,Laptop,Accessories,Karachi,S,White,2,No,Express,Yes,Online,Weekly
232,40,Male,Shirt,Electronics,Lahore,M,Red,2,No,Standard,No,Card,Yearly
233,25,Female,Shirt,Clothing,Faisalabad,XL,Green,5,Yes,Express,Yes,Online,Yearly
234,27,Male,Shoes,Electronics,Islamabad,M,White,2,No,Standard,Yes,Card,Weekly
235,48,Female,Phone,Accessories,Karachi,M,Black,5,No,Express,No,Card,Yearly
236,55,Male,Laptop,Electronics,Rawalpindi,M,Green,3,No,Express,No,Card,Weekly
237,18,Female,Shirt,Electronics,Lahore,M,Green,1,No,Standard,Yes,Card,Weekly
238,33,Male,Shirt,Accessories,Rawalpindi,S,Black,5,Yes,Express,No,Online,Weekly
239,39,Male,Shirt,Accessories,Islamabad,M,Blue,2,Yes,Express,No,Cash,Monthly
240,45,Male,Bag,Electronics,Islamabad,L,Black,2,Yes,Express,Yes,Card,Monthly
241,18,Female,Laptop,Clothing,Islamabad,XL,Red,2,Yes,Express,Yes,Cash,Monthly
242,47,Male,Bag,Electronics,Faisalabad,L,Blue,5,No,Express,No,Card,Monthly
243,21,Female,Phone,Clothing,Karachi,XL,Red,5,Yes,Express,No,Card,Monthly
244,27,Male,Phone,Clothing,Islamabad,L,White,5,Yes,Standard,Yes,Online,Monthly
245,34,Male,Shirt,Accessories,Faisalabad,S,Black,3,Yes,Standard,No,Card,Weekly
246,45,Male,Headphones,Electronics,Rawalpindi,XL,Blue,2,No,Express,No,Online,Yearly
247,56,Male,Bag,Clothing,Karachi,S,White,2,No,Express,No,Cash,Weekly
248,48,Female,Phone,Accessories,Lahore,L,Black,4,Yes,Standard,Yes,Online,Weekly
249,26,Female,Shirt,Accessories,Karachi,XL,Green,5,Yes,Standard,Yes,Online,Weekly
250,35,Female,Bag,Accessories,Karachi,L,Black,3,Yes,Express,Yes,Online,Monthly
251,26,Female,Laptop,Electronics,Islamabad,XL,Green,4,No,Express,Yes,Card,Yearly
252,52,Female,Shoes,Clothing,Lahore,M,Red,2,Yes,Standard,Yes,Card,Yearly
253,45,Female,Shoes,Accessories,Karachi,XL,Blue,1,No,Standard,Yes,Cash,Yearly
254,56,Female,Phone,Electronics,Lahore,L,Black,2,No,Standard,Yes,Online,Yearly
255,42,Female,Laptop,Clothing,Rawalpindi,XL,White,4,Yes,Express,No,Card,Monthly
256,23,Female,Shoes,Electronics,Faisalabad,M,Red,2,No,Standard,Yes,Cash,Monthly
257,24,Female,Watch,Accessories,Lahore,L,Blue,4,Yes,Express,No,Cash,Weekly
258,32,Male,Headphones,Electronics,Faisalabad,L,Black,2,No,Express,No,Card,Monthly
259,53,Female,Shirt,Accessories,Lahore,L,Red,3,Yes,Standard,No,Cash,Weekly
260,30,Male,Laptop,Clothing,Rawalpindi,XL,White,1,No,Express,Yes,Online,Monthly
261,59,Female,Headphones,Accessories,Islamabad,S,Red,5,Yes,Standard,No,Online,Monthly
262,31,Female,Shoes,Accessories,Faisalabad,M,Blue,5,No,Standard,No,Online,Yearly
263,57,Female,Watch,Clothing,Lahore,S,Black,2,No,Express,No,Online,Monthly
264,31,Female,Shirt,Accessories,Karachi,L,Red,3,Yes,Standard,No,Cash,Monthly
265,43,Male,Phone,Clothing,Faisalabad,XL,White,1,No,Express,Yes,Cash,Yearly
266,50,Female,Bag,Clothing,Islamabad,L,Black,2,No,Standard,Yes,Card,Monthly
267,37,Male,Watch,Electronics,Islamabad,XL,Black,4,Yes,Express,Yes,Online,Weekly
268,44,Female,Shoes,Clothing,Islamabad,XL,Black,4,Yes,Standard,Yes,Online,Yearly
269,34,Female,Phone,Clothing,Rawalpindi,M,Black,5,Yes,Express,Yes,Card,Yearly
270,56,Female,Bag,Accessories,Islamabad,XL,Black,4,Yes,Express,No,Online,Weekly
271,18,Male,Laptop,Accessories,Karachi,M,Blue,5,Yes,Standard,No,Cash,Monthly
272,27,Male,Shirt,Electronics,Rawalpindi,M,Blue,5,Yes,Express,No,Online,Yearly
273,44,Female,Laptop,Electronics,Faisalabad,S,Blue,3,Yes,Express,No,Cash,Monthly
274,31,Female,Phone,Electronics,Islamabad,M,Black,4,Yes,Express,No,Card,Weekly
275,29,Female,Headphones,Accessories,Lahore,S,Red,5,No,Standard,No,Card,Weekly
276,26,Male,Bag,Accessories,Rawalpindi,S,Green,5,Yes,Express,No,Card,Monthly
277,49,Female,Shoes,Accessories,Faisalabad,M,White,5,No,Express,Yes,Card,Yearly
278,46,Male,Phone,Accessories,Islamabad,S,Red,5,No,Standard,No,Cash,Weekly
279,36,Female,Watch,Accessories,Lahore,XL,Green,2,Yes,Express,Yes,Cash,Weekly
280,53,Male,Bag,Accessories,Karachi,S,Blue,3,Yes,Express,Yes,Online,Weekly
281,29,Male,Bag,Electronics,Rawalpindi,S,Blue,2,No,Standard,Yes,Online,Weekly
282,43,Male,Shirt,Clothing,Faisalabad,M,Red,5,No,Express,No,Online,Yearly
283,35,Female,Watch,Clothing,Islamabad,L,Green,4,No,Express,No,Cash,Yearly
284,31,Male,Bag,Clothing,Faisalabad,XL,Black,5,No,Express,No,Online,Weekly
285,19,Male,Phone,Accessories,Islamabad,XL,Blue,5,Yes,Express,No,Online,Yearly
286,31,Female,Shirt,Clothing,Islamabad,M,Green,3,No,Standard,No,Card,Yearly
287,24,Male,Laptop,Clothing,Islamabad,L,Black,1,Yes,Express,Yes,Cash,Weekly
288,45,Male,Phone,Accessories,Lahore,M,Red,4,Yes,Express,No,Online,Yearly
289,53,Female,Shirt,Clothing,Islamabad,S,Green,2,No,Express,No,Online,Monthly
